date,series,price,unit,source,period
2026-07-31,CONTRACT_DRAM_DDR3_4Gb_256Mx16,14.500,USD,trendforce,2H Jul
2026-07-31,CONTRACT_DRAM_DDR4_16Gb_2Gx8,48.000,USD,trendforce,2H Jul
2026-07-31,CONTRACT_DRAM_DDR4_16GB_SO_DIMM,265.000,USD,trendforce,2H Jul
2026-07-31,CONTRACT_DRAM_DDR4_4Gb_256Mx16,14.500,USD,trendforce,2H Jul
2026-07-31,CONTRACT_DRAM_DDR4_8Gb_1Gx8,24.000,USD,trendforce,2H Jul
2026-07-31,CONTRACT_DRAM_DDR4_8GB_SO_DIMM,139.000,USD,trendforce,2H Jul
2026-07-31,CONTRACT_DRAM_DDR5_8GB_SO_DIMM,130.000,USD,trendforce,2H Jul
2026-04-27,CONTRACT_NAND_1TB_mSATA_M_2_TLC_PCIe_Value_Grade,270.100,USD,trendforce,2Q 26
2026-04-27,CONTRACT_NAND_256GB_mSATA_M_2_TLC_PCIe_Value_Grade,104.600,USD,trendforce,2Q 26
2026-04-27,CONTRACT_NAND_512GB_mSATA_M_2_TLC_PCIe_Value_Grade,170.200,USD,trendforce,2Q 26
2026-07-31,CONTRACT_NAND_NAND_128Gb_16Gx8_MLC,30.048,USD,trendforce,
2026-07-31,CONTRACT_NAND_NAND_32Gb_4Gx8_MLC,17.865,USD,trendforce,
2026-07-31,CONTRACT_NAND_NAND_64Gb_8Gx8_MLC,23.110,USD,trendforce,
