date,series,price,unit,source
2026-09-07,DRAM_DDR4_16Gb_3200,93.250,USD,dramexchange
2026-09-08,DRAM_DDR4_16Gb_3200,91.750,USD,dramexchange
2026-09-09,DRAM_DDR4_16Gb_3200,91.000,USD,dramexchange
2026-09-07,DRAM_DDR4_8Gb_3200,45.357,USD,dramexchange
2026-09-08,DRAM_DDR4_8Gb_3200,45.364,USD,dramexchange
2026-09-09,DRAM_DDR4_8Gb_3200,45.321,USD,dramexchange
2026-09-07,DRAM_DDR5_16Gb_4800,54.300,USD,dramexchange
2026-09-08,DRAM_DDR5_16Gb_4800,54.333,USD,dramexchange
2026-09-09,DRAM_DDR5_16Gb_4800,54.500,USD,dramexchange
2026-09-07,NAND_1Tb_QLC_CFM,26.000,USD,cfm
2026-09-08,NAND_1Tb_QLC_CFM,26.000,USD,cfm
2026-09-09,NAND_1Tb_QLC_CFM,26.000,USD,cfm
2026-09-07,NAND_1Tb_TLC_CFM,29.000,USD,cfm
2026-09-08,NAND_1Tb_TLC_CFM,29.000,USD,cfm
2026-09-09,NAND_1Tb_TLC_CFM,29.000,USD,cfm
2026-08-31,NAND_512Gb_TLC,20.708,USD,dramexchange
